Property	Expected Type	Description	Type	Type URL	BSC Description	Marginality	Cardinality	Controlled Vocabulary	Example
alternateName	Text	An alias for the item.				Recommended	MANY		
annotations	Text	This OPTIONAL property contains arbitrary metadata for the image manifest. This OPTIONAL property MUST use the annotation rules.			This OPTIONAL property contains arbitrary metadata for the image manifest. This OPTIONAL property MUST use the annotation rules.	Optional	MANY	https://github.com/opencontainers/image-spec/blob/master/manifest.md	
applicationCategory	Text	Type of software application, e.g. 'Game, Multimedia'.			Type of software e.g. database, tool, service. **Note:** Bioschemas have removed [URL](http://schema.org/URL) from the Expected Types.	Optional	MANY	Please indicate the container technology in all lowercase	{   "@type": ["SoftwareApplication", "Container"],   "applicationCategory": "singularity" }
citation	CreativeWork or  Text	A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.			Publication about this software.	Recommended	MANY		{ "@type": ["SoftwareApplication", "Tool"], "citation": "https://dx.doi.org/10.1016/S0022-2836(05)80360-2" }
config	Text or URL	This REQUIRED property references a configuration object for a container, by digest.				Recommended	ONE	https://github.com/opencontainers/image-spec/blob/master/manifest.md	
configMediaType	Text or URL	This descriptor property has additional restrictions for config.				Recommended	ONE	https://github.com/opencontainers/image-spec/blob/master/manifest.md	
dateCreated	Date or  DateTime	The date on which the CreativeWork was created or the item was added to a DataFeed.				Optional	ONE		{ "@type": ["SoftwareApplication", "Tool"], "dateCreated": "2108-06-13" }
dateModified	Date or  DateTime	The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.				Optional	ONE		{ "@type": ["SoftwareApplication", "Tool"], "dateModified": "2108-08-07" }
description	Text	A description of the item.			a linux container	Minimum	ONE		
downloadUrl	URL	If the file can be downloaded, URL to download the binary. For containers without an exposed wget url or similar, this can be the pull command.				Optional	MANY		{   "@type": ["SoftwareApplication", "Tool"],   "downloadURL": "https://github.com/sacdallago/cellmap" }
featureList	Text or  URL	Features or modules provided by this application (and possibly required by other applications).			Please choose values from [EDAM:Operation](http://edamontology.org/operation_0004).	Minimum	MANY	[EDAM:Operation](http://edamontology.org/operation_0004)	{   "@type": ["SoftwareApplication", "Tool"],   "featureList": ["http://edamontology.org/topic_0821", "http://edamontology.org/topic_0128"] }
hasPart	CreativeWork	Indicates a CreativeWork that is (in some sense) a part of this CreativeWork. Inverse property: isPartOf.			Used to describe tools included into suites/bundles/workflows. 	Optional	MANY		
identifier	PropertyValue or  Text or  URL	The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See [background notes](http://schema.org/docs/datamodel.html#identifierBg) for more details.			Unique identifier for the container, typically corresponding to a uri to designate a registry source	Recommended	ONE		<username>/<repository>:<tag>@<hash>
ImageMediaType	Text or  URL	The media type of the container image	external	https://github.com/opencontainers/image-spec/blob/master/media-types.md	The media type of the container image	Recommended	ONE	https://github.com/opencontainers/image-spec/blob/master/media-types.md	
input	URL		external	http://semanticscience.org/resource/SIO_000230	The input format of the data. Must be one of the [EDAM:Data](http://edamontology.org/data_0006) concept labels or one of its synonyms. 	Recommended	MANY	[EDAM:Data](http://edamontology.org/data_0006)	{ "@type": ["SoftwareApplication", "Tool"], "input": ["http://edamontology.org/data_2977", "http://edamontology.org/data_2976"] }
keywords	Text	Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.				Optional	ONE	[EDAM:Topic](http://edamontology.org/topic_0003)	{ "@type": ["SoftwareApplication", "Tool"], "ketwords": "Biology, chemistry, medicine" }
layers	Text or URL	Each item in the array MUST be a descriptor. The array MUST have the base layer at index 0. Subsequent layers MUST then follow in stack order (i.e. from layers[0] to layers[len(layers)-1]). The final filesystem layout MUST match the result of applying the layers to an empty directory. The ownership, mode, and other attributes of the initial empty directory are unspecified.			Each item in the array MUST be a descriptor. The array MUST have the base layer at index 0. Subsequent layers MUST then follow in stack order (i.e. from layers[0] to layers[len(layers)-1]). The final filesystem layout MUST match the result of applying the layers to an empty directory. The ownership, mode, and other attributes of the initial empty directory are unspecified.	Recommended	MANY	https://github.com/opencontainers/image-spec/blob/master/manifest.md	
layersMediaType	Text or URL	This descriptor property has additional restrictions for layers[].			This descriptor property has additional restrictions for layers[].	Recommended	MANY	https://github.com/opencontainers/image-spec/blob/master/manifest.md	
license	Text or URL	A license document that applies to this content, typically indicated by URL.			The applicable software license. **Note:** Bioschemas have changed the Expected Types to [URL](http://schema.org/URL) or [Text](http://schema.org/Text).	Recommended	MANY		{ "@type": ["SoftwareApplication", "Tool"], "license": "https://www.apache.org/licenses/LICENSE-2.0" }
mediaType	Text or URL	This property is reserved for use, to maintain compatibility. When used, this field contains the media type of this document, which differs from the descriptor use of mediaType.			This property is reserved for use, to maintain compatibility. When used, this field contains the media type of this document, which differs from the descriptor use of mediaType.	Recommended	ONE	https://github.com/opencontainers/image-spec/blob/master/manifest.md	
name	Text	The name of the item.				Minimum	ONE		
operatingSystem	Text	Operating systems supported (Windows 7, OSX 10.6, Android 1.6).			Operating systems on which the container runs, typically Linux derivatives and (for some containers) Windows.	Optional	MANY		{   "@type": ["SoftwareApplication", "Tool"],   "operatingSystem": ["Windows 7 or above", "Linux/Unix", "Mac/Apple"] }
output	URL		external	http://semanticscience.org/resource/SIO_000229	The output format of the data. Must be one of the [EDAM:Data](http://edamontology.org/data_0006) concept labels or one of its synonyms.	Recommended	MANY	[EDAM:Data](http://edamontology.org/data_0006)	{ "@type": ["SoftwareApplication", "Tool"], "input": ["http://edamontology.org/data_1383", "http://edamontology.org/data_1384"] }
publisher	Organization or  Person	The publisher of the creative work.				Recommended	MANY		{   "@type": ["SoftwareApplication", "Tool"],   "publisher": {     "@type": "Organization",     "name": "National Center for Biotechnology Information National Library of Medicine",     "alternatName": "NCBI NLM"   } }
schemaVersion	Number or  Text	This REQUIRED property specifies the image manifest schema version. For this version of the specification, this MUST be 2 to ensure backward compatibility with older versions of Docker. The value of this field will not change. This field MAY be removed in a future version of the specification.		https://github.com/opencontainers/image-spec/blob/master/manifest.md	This REQUIRED property specifies the image manifest schema version. For this version of the specification, this MUST be 2 to ensure backward compatibility with older versions of Docker. The value of this field will not change. This field MAY be removed in a future version of the specification.	Recommended	ONE	https://github.com/opencontainers/image-spec/blob/master/manifest.md	
softwareHelp	CreativeWork	Software application help.			A documentation for the container, typically showing install steps, usage, and a changelog.	Optional	MANY		{   "@type": ["SoftwareApplication", "Tool"],   "softwareHelp": "https://biotools.readthedocs.io/en/latest/" }
softwareRequirements	Text or  URL	Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (Examples: DirectX, Java or .NET runtime). Supersedes requirements.				Optional	MANY		{   "@type": ["SoftwareApplication", "Tool"],   "softwareRequirements": "JRE 8.0 or above" }
softwareVersion	Text	Version of the software instance.			version of the container instance	Minimum	ONE		{   "@type": ["SoftwareApplication", "Tool"],   "softwareVersion": "1.0.2" }
url	URL	URL of the item.			URL of the container, typically associated with a registry that shows the ContainerRecipe, vulnerability scans, and other metadata. This property can be used on a page listing many containers to indicate each individual container's page.	Minimum	ONE		